Site_ID,y.1,y.2,y.3,y.4,year
79,6,6,NA,NA,2018
80,NA,NA,NA,NA,2018
81,12,12,NA,NA,2018
82,NA,NA,NA,NA,2018
83,NA,NA,NA,NA,2018
84,NA,NA,NA,NA,2018
85,NA,NA,NA,NA,2018
86,NA,NA,NA,NA,2018
87,NA,NA,NA,NA,2018
88,NA,NA,NA,NA,2018
89,NA,NA,NA,NA,2018
90,6,6,NA,NA,2018
91,NA,NA,NA,NA,2018
92,16,16,NA,NA,2018
93,0,0,NA,NA,2018
94,NA,NA,NA,NA,2018
95,31,32,NA,NA,2018
96,18,18,NA,NA,2018
97,18,NA,NA,NA,2018
98,5,5,NA,NA,2018
99,32,32,NA,NA,2018
100,32,32,NA,NA,2018
101,24,NA,NA,NA,2018
102,31,31,NA,NA,2018
103,34,34,NA,NA,2018
104,18,18,NA,NA,2018
105,8,8,NA,NA,2018
106,NA,NA,NA,NA,2018
107,NA,NA,NA,NA,2018
108,NA,NA,NA,NA,2018
109,NA,NA,NA,NA,2018
110,NA,NA,NA,NA,2018
111,NA,NA,NA,NA,2018
112,8,8,1,NA,2018
113,NA,NA,NA,NA,2018
114,1,1,NA,NA,2018
115,0,0,NA,NA,2018
116,1,1,NA,NA,2018
117,6,6,NA,NA,2018
118,1,1,NA,NA,2018
119,3,3,NA,NA,2018
120,2,2,NA,NA,2018
121,6,6,NA,NA,2018
122,2,NA,NA,NA,2018
123,NA,NA,NA,NA,2018
124,NA,NA,NA,NA,2018
125,NA,NA,NA,NA,2018
126,NA,NA,NA,NA,2018
127,NA,NA,NA,NA,2018
128,NA,NA,NA,NA,2018
129,NA,NA,NA,NA,2018
130,NA,NA,NA,NA,2018
131,NA,NA,NA,NA,2018
132,9,9,NA,NA,2018
133,NA,NA,NA,NA,2018
134,11,11,NA,NA,2018
135,NA,NA,NA,NA,2018
136,NA,NA,NA,NA,2018
137,18,18,NA,NA,2018
138,9,9,NA,NA,2018
139,8,8,NA,NA,2018
140,9,9,NA,NA,2018
141,8,8,NA,NA,2018
142,NA,NA,NA,NA,2018
143,NA,NA,NA,NA,2018
144,NA,NA,NA,NA,2018
145,NA,NA,NA,NA,2018
146,0,0,NA,NA,2018
147,3,3,NA,NA,2018
148,3,3,NA,NA,2018
149,9,9,NA,NA,2018
150,NA,NA,NA,NA,2018
151,NA,NA,NA,NA,2018
152,NA,NA,NA,NA,2018
153,14,14,NA,NA,2018
154,7,7,NA,NA,2018
155,7,7,NA,NA,2018
156,NA,NA,NA,NA,2018
157,7,7,NA,NA,2018
158,NA,NA,NA,NA,2018
159,NA,NA,NA,NA,2018
160,NA,NA,NA,NA,2018
161,NA,NA,NA,NA,2018
162,NA,NA,NA,NA,2018
163,7,7,NA,NA,2018
164,10,10,NA,NA,2018
165,15,7,NA,NA,2018
166,13,13,NA,NA,2018
167,NA,NA,NA,NA,2018
168,2,2,NA,NA,2018
169,4,5,NA,NA,2018
170,5,5,NA,NA,2018
171,2,2,NA,NA,2018
1,0,NA,NA,NA,2019
2,NA,NA,NA,NA,2019
3,0,NA,NA,NA,2019
4,NA,NA,NA,NA,2019
5,NA,NA,NA,NA,2019
6,NA,NA,NA,NA,2019
7,NA,NA,NA,NA,2019
8,1,NA,NA,NA,2019
9,NA,NA,NA,NA,2019
10,NA,NA,NA,NA,2019
11,9,NA,NA,NA,2019
12,NA,NA,NA,NA,2019
13,7,NA,NA,NA,2019
14,7,NA,NA,NA,2019
15,NA,NA,NA,NA,2019
16,8,NA,NA,NA,2019
17,NA,NA,NA,NA,2019
18,NA,NA,NA,NA,2019
19,5,NA,NA,NA,2019
20,NA,NA,NA,NA,2019
21,NA,NA,NA,NA,2019
