Site_ID,Area_ha,Patch_km,Wet_km,prop_2,prop_3,prop_4
73,2.0360301,0.488982,0.326296,0,0,0
74,3.7069299,2.6642399,0.142806,0.172509405,0.00996446,0.011801871
75,3.0480399,0.596684,0.524028,0,0,0
76,1.42267,5.0012002,0.387127,0,0,0
77,5.25951,2.31833,2.0527999,0.263976827,0.199614451,0.354479747
78,2.1716399,1.3833899,0.0698871,0.168507111,0.018627443,0.01797331
79,1.72945,1.56687,0.490117,0.125387317,0.206012959,0.422141288
80,2.5041399,0.228663,0.887089,0,0,0
81,1.81911,0.228663,0.697501,0.180187181,0.112426339,0.414651497
82,0.420717,2.0015199,0.0440182,0,0,0
83,4.0780401,1.04953,0.286974,0,0,0
84,1.37641,0.0563339,1.57584,0,0,0
85,1.4904799,0.0563339,1.61848,0.2994692,0.029065926,0.033287933
86,1.37931,0.393388,1.82309,0,0,0
87,0.901218,0.0874624,0.571561,0.07835449,0.014348548,0.042076853
88,5.7697902,0.367419,0.0675206,0.122870318,0.159427866,0.419061492
89,0.853982,0.367419,0.0221552,0.255347997,0.106951997,0.161764994
90,4.1747499,1.69173,0.152239,0.342386501,0.188640373,0.106468476
91,0.29398,3.2335,0.813433,0.061559601,0.199855665,0.535646667
92,14.4532003,1.69173,1.77958,0.378066321,0.086387532,0.212413961
93,3.43046,0.219234,0.242267,0.237968504,0.2812915,0.13668005
94,1.59504,0.219234,0,0.203061164,0.10864366,0.133728138
95,5.80268,2.3779199,0.650101,0.185202019,0.135691007,0.169628551
96,7.0188799,0.807497,1.02356,0,0,0
97,6.2281399,1.04953,0.55172,0.188383826,0.073577907,0.127833954
98,3.8480401,0.269851,1.21288,0.174065624,0.070316317,0.110553384
99,0.500894,0.0918626,1.52913,0,0,0
100,2.9561501,0.0752662,0.685867,0.358405494,0.068749,0.017074016
101,2.13539,0.25139,0.608277,0,0,0
102,5.8399301,0.25139,0.131707,0.139672849,0.567567512,0.088816273
103,4.5314798,0.0752662,0.690763,0.415748364,0.017734189,0.06991183
104,1.50676,0.0874624,0.802891,0,0,0
